Año,N°,Materia,Día,Observaciones,Link
1º,,Comunicación Lingüística (Elec.),1-Lunes,,
1º,,Álgebra y Geometría Analítica,1-Lunes,,
1º,,Análisis Matemático I,1-Lunes,,
2º,,Análisis Matemático II,1-Lunes,,
3º,,Economía,1-Lunes,,
1º,,Física I,2-Martes,,
2º,,Física II,2-Martes,,
4º,,Formación de Emprendedores(Elec.),3-Miércoles,,
5º,,Gestión Ingenieril,3-Miércoles,,
5º,,Historia de la Ciencia Moderna (Elec. ),3-Miércoles,,
5º,,Ingeniería Legal,3-Miércoles,,
1º,,Ingeniería y Sociedad,3-Miércoles,,
1º,,Inglés A,4-Jueves,,
1º,,Inglés Técnico I,4-Jueves,,
2º,,Inglés Técnico II,4-Jueves,,
5º,,Introducción a Sistemas de Gestión Gerencial (Elec.),4-Jueves,,
4º,,Legislación,4-Jueves,,
2º,,Probabilidad y Estadística,4-Jueves,,
2º,,Química – Sistemas,4-Jueves,,
1º,,"Química General EM, E, C",5-Viernes,,
