Año,N°,Materia,Día,Observaciones,Link
1°,1,Integración I,1-Lunes,Departamento de Ingeniería Química,
1°,7,Sistemas de Representación,2-Martes,Departamento de Ciencias Básicas.,
1°,8,Fundamentos de Informática,3-Miércoles,Departamento de Ingeniería Química,revisar con Ariel Riela
2°,9,Integración II,4-Jueves,Departamento de Ingeniería Química,
2°,14,Química Orgánica,2-Martes,Departamento de Ingeniería Química,
2°,11,Química Inorgánica,2-Martes,Departamento de Ingeniería Química,
2°,16,Matemática Superior y Aplicada,4-Jueves,Departamento de Ingeniería Química,
3°,17,Integración III,3-Miércoles,Departamento de Ingeniería Química,
3°,18,Termodinámica,1-Lunes,Departamento de Ingeniería Química,
3°,21,Mecánica Eléctrica Industrial,1-Lunes,Departamento de Ingeniería Química,
3°,24,Química Analítica,2-Martes,Departamento de Ingeniería Química,
3°,22,Físico Química,3-Miércoles,Departamento de Ingeniería Química,
3°,23,Fenómenos de Transporte,3-Miércoles,Departamento de Ingeniería Química,
3°,2° Cuatrimestre,Química Analítica Aplicada,5-Viernes,,
3°,,Epistemología de las Ciencias de la Ingeniería,--Sin Día,,
3°,,Metodología de la Investigación,--Sin Día,,
4°,26,Integración IV,5-Viernes,Departamento de Ingeniería Química,
4°,27,Operaciones Unitarias I,5-Viernes,Departamento de Ingeniería Química,
4°,31,Ingeniería de las Reacciones Químicas,3-Miércoles,Departamento de Ingeniería Química,
4°,28,Tecnología de la Energía Térmica,4-Jueves,Departamento de Ingeniería Química,
4°,29,Biotecnología,5-Viernes,Departamento de Ingeniería Química,
4°,32,Control Estadístico de Procesos,2-Martes,Departamento de Ingeniería Química,
4°,30,Operaciones Unitarias II,3-Miércoles,Departamento de Ingeniería Química,
4°,33,Organización Industrial,3-Miércoles,Departamento de Ingeniería Química,
4°,,Utilitarios de Computación,4-Jueves,,
4°,,"Sustentabilidad de la cadena de suministros y del ciclo de vida de productos, procesos y actividades",--Sin Día,,
5°,35,Integración V. Proyecto Final,2-Martes,Departamento de Ingeniería Química,
5°,34,Control Automático de Procesos,3-Miércoles,Departamento de Ingeniería Química,
5°, otr,Orientadora I (Ind. Agroalimentaria y trat de sus efluentes),3-Miércoles,,
5°,,Orientadora II (Ind. De base extractiva y trat de sus efluentes),5-Viernes,,
5°,,Ingeniería de las Instalaciones,5-Viernes,,
5°,1° Cuatrimestre,Ciencias de los Materiales,4-Jueves,,
5°,,Gestión Empresarial I,1-Lunes,,
5°,,Evaluación de Impacto Ambiental,4-Jueves,,
5°,,Introducción a los Sistemas de Gestión Gerencial,--Sin Día,,
5°,,Investigación Operativa. Diseño óptimo de procesos,1-Lunes,,
5°,,Gestión Empresarial II,1-Lunes,,
5°,,Gestión de Recursos Humanos,4-Jueves,,
5°,,Higiene y Seguridad en el Trabajo,4-Jueves,,
5°,,Ingeniería Industrial de Recursos Naturales Regionales,4-Jueves,,
5°,,Planeamiento de las operaciones y prospectiva,--Sin Día,,
5°,,Formación de Emprendedores,--Sin Día,,
